"X__gid","cod","tipo","cveigecem","nom_mun","deleg","cveinegi","nom_reg","num_reg","uso","tipologia","valm2","distrito_centro","area","distrito1_nombre","distrito1_puntos","distrito2_nombre","distrito2_puntos","distrito3_nombre","distrito3_puntos","distrito4_nombre","distrito4_puntos","distrito5_nombre","distrito5_puntos"
1867,"187","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"168",21007.2101718262,"163",24,"168",76,"0",0,"0",0,"0",0
1868,"093","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"169",1214176.06601328,"161",32,"162",9,"168",1,"169",58,"0",0
1869,"104","I1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial económica","Industrial",NA,"162",35819.3868211242,"161",21,"162",76,"169",3,"0",0,"0",0
1870,"163","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"169",81623.0628959239,"169",100,"0",0,"0",0,"0",0,"0",0
1871,"037","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"147",375971.245699431,"141",12,"147",88,"0",0,"0",0,"0",0
1872,"046","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"161",1515298.90241229,"161",56,"162",33,"163",4,"169",7,"0",0
1877,"097","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"168",1102771.92393425,"167",6,"168",86,"171",8,"0",0,"0",0
1878,"112","H4","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional residencial medio","Habitacional",NA,"154",964887.471724298,"152",2,"153",1,"154",60,"155",28,"156",9
1879,"041","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"154",224076.002971484,"153",5,"154",95,"0",0,"0",0,"0",0
1880,"159","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"146",272212.470902375,"146",94,"147",6,"0",0,"0",0,"0",0
1886,"142","H2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional popular","Habitacional",NA,"150",3884588.25938867,"139",4,"149",43,"150",33,"157",3,"158",17
1887,"107","I1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Industrial económica","Industrial",NA,"161",43483.4932463169,"161",74,"162",26,"0",0,"0",0,"0",0
1888,"106","H3","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Habitacional interés social","Habitacional",NA,"161",65517.8675049171,"161",95,"162",5,"0",0,"0",0,"0",0
1889,"045","C1","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial bajo","Comercial",NA,"162",239423.866093578,"161",2,"162",98,"0",0,"0",0,"0",0
1890,"089","C2","094","ECATEPEC DE MORELOS","Ecatepec de Morelos","15033","Ecatepec","V","Comercial medio","Comercial",NA,"162",239771.798472267,"161",22,"162",78,"0",0,"0",0,"0",0
