X__gid,cod,tipo,cveinegi,tipologia,distrito,area
100,112,A2,15002,Agrícola,NA,930308.7472
101,57,E1,15002,Equipamiento,NA,4545.288937
125,111,A2,15002,Agrícola,NA,6619695.293
4949,59,A4,15084,Agrícola,NA,12931.92146
106,46,A1,15002,Agrícola,NA,153368.2907
111,86,H2,15002,Habitacional,NA,426046.8894
112,20,H2,15002,Habitacional,NA,1066475.545
113,110,A4,15002,Agrícola,NA,10435129.05
120,115,H1,15002,Habitacional,NA,330541.0848
654,122,A4,15011,Agrícola,NA,4266095.344
114,47,H2,15002,Habitacional,NA,1579585.968
115,51,I3,15002,Industrial,NA,275844.3945
116,31,H2,15002,Habitacional,NA,179890.5645
121,59,H1,15002,Habitacional,NA,313192.8856
122,108,A2,15002,Agrícola,NA,2024998.456
117,1,H2,15002,Habitacional,NA,1559621.149
118,106,I1,15002,Industrial,NA,1536716.674
119,48,I2,15002,Industrial,NA,183757.6454
123,9,H2,15002,Habitacional,NA,1153956.705
4894,89,A4,15084,Agrícola,NA,34493.04863
126,76,H1,15002,Habitacional,NA,483483.1219
127,114,H3,15002,Habitacional,NA,22292.42931
1498,22,H3,15020,Habitacional,NA,750338.1405
128,27,H2,15002,Habitacional,NA,323721.5643
133,84,H2,15002,Habitacional,NA,166964.1877
152,56,I1,15002,Industrial,NA,117044.1158
135,95,H3,15002,Habitacional,NA,1732167.674
129,19,H2,15002,Habitacional,NA,1079670.026
130,16,H3,15002,Habitacional,NA,13959.70686
134,52,H1,15002,Habitacional,NA,1757235.161
131,77,H1,15002,Habitacional,NA,819545.6998
132,61,H1,15002,Habitacional,NA,289741.5965
137,8,H3,15002,Habitacional,NA,31023.80745
138,96,H2,15002,Habitacional,NA,22107.89268
136,12,H4,15002,Habitacional,NA,650981.8223
139,97,E1,15002,Equipamiento,NA,119462.9866
140,78,H1,15002,Habitacional,NA,592567.6997
705,52,E1,15013,Equipamiento,NA,291219.6626
143,88,A2,15002,Agrícola,NA,241712.3865
144,113,A2,15002,Agrícola,NA,310905.7349
145,60,H1,15002,Habitacional,NA,247503.9621
146,11,H3,15002,Habitacional,NA,134724.9698
141,91,H2,15002,Habitacional,NA,1003150.529
142,53,H2,15002,Habitacional,NA,399522.5158
1235,156,L1,15025,Especial,NA,424192.9213
147,21,A1,15002,Agrícola,NA,967554.8633
148,28,C2,15002,Comercial,NA,124446.5063
149,26,H2,15002,Habitacional,NA,373832.8526
150,55,H2,15002,Habitacional,NA,443038.5951
151,54,I3,15002,Industrial,NA,622934.1015
153,39,H2,15002,Habitacional,NA,401189.9797
154,99,A2,15002,Agrícola,NA,1172788.376
157,93,H1,15002,Habitacional,NA,961406.9798
1418,3,H1,15031,Habitacional,NA,123298.2032
155,10,A1,15002,Agrícola,NA,1054541.521
156,23,A1,15002,Agrícola,NA,371605.7276
158,100,F1,15002,Forestal,NA,4041985.943
168,105,E1,15002,Equipamiento,NA,7205.559151
159,62,H1,15002,Habitacional,NA,184613.7186
160,25,A1,15002,Agrícola,NA,44125.71046
1419,39,H3,15031,Habitacional,NA,113582.5911
161,104,A4,15002,Agrícola,NA,4594781.238
162,14,H2,15002,Habitacional,NA,956560.2911
163,79,I1,15002,Industrial,NA,42856.27653
164,109,A4,15002,Agrícola,NA,3719002.844
620,27,H1,15010,Habitacional,NA,194186.2777
165,101,A4,15002,Agrícola,NA,4642524.303
166,92,H1,15002,Habitacional,NA,11581.87811
167,94,H1,15002,Habitacional,NA,9960.939238
1427,50,H2,15031,Habitacional,NA,62529.83813
169,103,A4,15002,Agrícola,NA,6571591.795
1881,160,I1,15033,Industrial,NA,21008.60603
1882,149,H3,15033,Habitacional,NA,50137.07856
1791,147,H3,15033,Habitacional,NA,65564.07569
723,8,I2,15013,Industrial,NA,348192.3564
1792,190,H3,15033,Habitacional,NA,206786.6509
1452,19,H2,15031,Habitacional,NA,1408458
621,36,A2,15010,Agrícola,NA,316989.14
622,20,H1,15010,Habitacional,NA,57912.35323
1883,2,H4,15033,Habitacional,NA,416854.5681
1793,189,H3,15033,Habitacional,NA,107240.2018
1794,95,H3,15033,Habitacional,NA,38422.90524
2316,120,I2,15039,Industrial,NA,260727.1299
1453,32,H1,15031,Habitacional,NA,770801.0563
1808,54,C1,15033,Comercial,NA,128431.8741
878,101,H1,15016,Habitacional,NA,248126.2518
1459,26,H1,15031,Habitacional,NA,837326.1539
1499,47,H3,15020,Habitacional,NA,499959.1611
1489,4,C2,15020,Comercial,NA,78627.26881
593,64,A4,15009,Agrícola,207,903417.9045
1884,13,H2,15033,Habitacional,NA,524507.8462
1490,12,H3,15020,Habitacional,NA,154234.0578
1500,48,H1,15020,Habitacional,NA,169006.6864
606,40,G1,15010,Eriazo,NA,8332005.857
1622,74,H3,15024,Habitacional,NA,230282.6881
4950,61,A4,15084,Agrícola,NA,22505.30151
612,7,H1,15010,Habitacional,NA,2503630.403
615,29,A4,15010,Agrícola,NA,345466.9726
1623,58,C3,15024,Comercial,NA,31150.88719
1624,72,H3,15024,Habitacional,NA,44205.94351
2235,35,E1,15039,Equipamiento,NA,54762.04947
1487,10,H2,15020,Habitacional,NA,798751.4433
